Facility Name,Medical Director/Administrator,Phone,Email,Website,Address,Square Footage,Notes (Specialty, Exam Rooms, Procedure Areas)
Jupiter Medical Center Urgent Care,Dr. Gary Bradley DO MSC (Medical Director Martin County),(772) 263-8400,info@jupitermedurgentcare.com,https://www.jupitermedurgentcare.com/,2628 SE Federal Hwy Stuart FL 34994,Unknown,Urgent care - Walk-in clinic specializing in non-emergent injuries and illnesses lab tests x-rays vaccinations sports physicals
Cleveland Clinic Rehabilitation Center Stuart,Not specified,(772) 223-5736,Not specified,https://my.clevelandclinic.org/locations/directions/556-rehabilitation-center-stuart,6001 SE Tower Drive Stuart FL 34997,Unknown,Rehabilitation Center - Physical occupational speech therapies providing rehabilitation services to patients at Cleveland Clinic Stuart location outpatient rehabilitation comprehensive care
Stuart Rehabilitation and Healthcare,Not specified,Not specified,Not specified,https://stuartrehabcare.com/services/,Stuart FL,Unknown,Rehabilitation Center - Physical Occupational and Speech therapies up to six days per week conduct 1:1 therapy individual therapy sessions produce best outcomes get patients home
Jennie Stuart Health Physical/Occupational Therapy,Not specified,Not specified,Not specified,https://www.jenniestuarthealth.org/our-locations/physical-therapy/,Stuart FL,Unknown,Rehabilitation Center - Comprehensive line of outpatient rehabilitation services physical therapy occupational therapy athletic training fitness programming
MyEyeDr. Fort Pierce,Not specified,Not specified,Not specified,https://locations.myeyedr.com/fl/fort-pierce/2305-oleander-blvd,2305 Okeechobee Blvd Fort Pierce FL 34947,Unknown,Ophthalmology/Optometry - Complete eye exams with glasses and contacts optometrist services MyEyeDr. offers complete eye exams with glasses and contacts book appointment now with MyEyeDr. optometrist
Taylor Creek Optical Fort Pierce,Dr. Ron McCord,Not specified,Not specified,https://taylorcreekoptical.com/,Fort Pierce FL,Unknown,Ophthalmology/Optometry - One-on-one approach to optometry makes Dr. Ron McCord and Taylor Creek Optical staff eye and vision care providers of choice in Ft. Pierce area complete eye exams contact lenses eyeglasses
Center for Advanced Eye Care Fort Pierce,Not specified,(772) 410-2810,Not specified,https://www.caec.info/location/fort-pierce-fl,1707 S 25th Street Fort Pierce FL 34947,Unknown,Ophthalmology - Ophthalmology surgeons providing exceptional eye care board-certified ophthalmologists and eye surgeons team dedicated to providing patients of all ages with exceptional eye care at modern office in Fort Pierce
Fort Pierce Vision Care,Dr. Paul Brad Moll,Not specified,Not specified,https://ftpiercevisioncare.com/,Fort Pierce FL,Unknown,Ophthalmology/Optometry - Dr. Paul Brad Moll graduated from University of Florida with bachelors degree in Zoology University of Houston College of Optometry Doctor of Optometry degree practicing Optometry in Fort Pierce for over 20 years
Advanced Eye Care Center Fort Pierce Port St Lucie,Dr. Olivos,Not specified,Not specified,https://www.advancedeyecareslc.com/,Fort Pierce FL,Unknown,Ophthalmology/Optometry - With extensive experience Dr. Olivos offers comprehensive eye care services at both of his locations
Retina Group of Florida Fort Pierce,Not specified,Not specified,Not specified,https://www.retinagroupflorida.com/retina-centers/fort-pierce,Fort Pierce FL,Unknown,Ophthalmology - Retina specialists and surgeons committed to providing patients with convenient access to most advanced retinal care available treat all conditions related to retina macula and vitreous including macular degeneration diabetic retinopathy
St Lucie Eye,Not specified,(772) 461-2020,Not specified,https://www.stlucieeye.com/,2201 S 10th St Fort Pierce FL 34950,Unknown,Ophthalmology - Eye Doctor Ophthalmologist Lasik Eye Surgery comprehensive eye care services Fort Pierce Florida
Live Oak Endoscopy Center,Not specified,Not specified,Not specified,https://liveoakendoscopycenter.com/,Vero Beach FL,Unknown,Gastroenterology - Cutting-edge surgical facility specializing in diagnostic and therapeutic gastrointestinal endoscopic procedures creates customized nutritional profile and diet prescription with meal plans and cooking tips
Treasure Coast Gastro Health Vero Beach,Dr. Pramod Joseph MD,Not specified,Not specified,https://treasurecoastgastrohealth.com/vero-beach-gastroenterology/,Vero Beach FL,Unknown,Gastroenterology - Dr. Pramod Joseph MD gastrointestinal disease expert provides high-quality care to patients experiencing digestive issues gastroenterologists highly trained to meet needs of patients by offering diagnosis treatment and surgery to treat digestive diseases
Center for Advanced Eye Care,Not specified,Not specified,Not specified,https://www.caec.info,Vero Beach and Fort Pierce FL,Unknown,Ophthalmology - Their team of board-certified ophthalmologists and eye surgeons is dedicated to providing patients of all ages with exceptional eye care at their modern office in Vero Beach and Fort Pierce Florida
Seaside Smiles Vero Beach,Not specified,Not specified,Not specified,https://www.seasidesmiles.com/,Vero Beach FL,Unknown,Pediatric Dentistry - Dedicated to use of state-of-the-art digital technology to both advance patients understanding of procedures and offer safer superior treatment specialized in dentistry for infants children adolescents and special needs patients
Dermody Pediatric Dentistry Orthodontics Vero Beach,Not specified,(772) 562-5150 (Dentistry) (772) 778-2259 (Orthodontics),Not specified,https://www.dermodydental.com/,2000 35th Ave Vero Beach FL 32960,Unknown,Pediatric Dentistry/Orthodontics - Often times their smile is perfected with orthodontic care braces honored to watch transformation take place as they step into adulthood with a beautiful confident smile
Nickel Pediatric Dentistry Vero Beach,Dr. Andrew Nickel,Not specified,Not specified,https://veropediatricdentistry.com/,Vero Beach FL,Unknown,Pediatric Dentistry - At Nickel Pediatric Dentistry Pediatric Dentist Dr. Andrew Nickel and his staff make every effort to ensure that your child's visit to the dentist is a positive experience in Vero Beach Florida
Hometown Smiles Vero Beach Pediatric Dentistry,Not specified,Not specified,Not specified,https://hometownsmiles.net/pediatric-dentistry/,Vero Beach FL,Unknown,Pediatric Dentistry - Our dentists and entire staff understand the importance of good oral health for young children They have specialized training in primary teeth They are here to help protect and restore children's teeth so that they can speak and eat easily and have a wonderful smile
Childrens Dental Services Vero Beach Dental Partners,Not specified,Not specified,Not specified,https://www.verobeachdentist.com/childrens-dental-services/,Vero Beach FL,Unknown,Pediatric Dentistry - Dental Partners of Vero Beach provides a wide range of children's dental services in Vero Beach Florida Contact us today to schedule your child's appointment
Dermody Pediatric Dentistry Orthodontics Port St Lucie Vero Beach Palm City,Not specified,(772) 562-5150 (Dentistry) (772) 778-2259 (Orthodontics),Not specified,https://www.dermodydentalpsl.com/,Port St Lucie Vero Beach Palm City FL,Unknown,Pediatric Dentistry/Orthodontics - Dermody Pediatric Dentistry Orthodontics is your Port St Lucie Vero Beach and Palm City FL pediatric dentist and orthodontist providing quality dental care and braces for children and teens
Novak Dental Vero Beach Pediatric Dentistry,Not specified,Not specified,Not specified,https://novakdental.com/pediatric-dentistry/,Vero Beach FL,Unknown,Pediatric Dentistry - Novak Dental in Vero Beach FL provides trusted compassionate pediatric dental care Gentle expert treatment for kids of all ages Call today to make an appointment
Pelican Dental Care Vero Beach,Not specified,Not specified,Not specified,https://pelicandentalcare.net/,Vero Beach FL,Unknown,Pediatric Dentistry - Drawing on years of expertise we've observed that children often adapt better when navigating dental experience independently fostering a direct bond of trust with our dental team After examination we ensure parents are fully briefed on diagnosis and treatment options aligning with American Academy of Pediatric Dentistry's guidance for a parent-free treatment zone for children
HCA Florida St Lucie Hospital Neurological Care,Not specified,(772) 335-4000,Not specified,https://www.hcafloridahealthcare.com/locations/st-lucie-hospital/specialties/neurological-care,1800 SE Tiffany Ave Port St Lucie FL 34952,Unknown,Neurology - Neurological care is a practice of medicine that focuses on diagnosis treatment and function of diseases relating to nerves and nervous system Neurologists and neurosurgeons treat disorders that affect brain or spinal cord
Premier Neurology and Wellness Center Stuart and Jupiter,Not specified,Not specified,Not specified,https://premierneurologycenter.com/,Stuart and Jupiter FL,Unknown,Neurology - Premier Neurology and Wellness Center provides professional neurological outpatient care board certified neurologists chronic headaches nerve pain complex neurological conditions diagnostic procedures therapeutic procedures worker compensation motor vehicle accident slip fall injury care
Dr. Delvis A. Celdran MD Port St Lucie,Dr. Delvis A. Celdran MD,Not specified,Not specified,Not specified,Port St Lucie FL,Unknown,Neurology - Dr. Delvis A. Celdran is a neurologist in Port St Lucie Florida and is affiliated with multiple hospitals in the area including HCA Florida Lawnwood Hospital and Port St Lucie Hospital He received his medical degree from Instituto Superior de Ciencias Medicinas de Villa Clara
Dr. Francisca X. Condili MD Port St Lucie,Dr. Francisca X. Condili MD,Not specified,Not specified,Not specified,Port St Lucie FL,Unknown,Neurology - Dr. Francisca X. Condili is a neurologist in Port St Lucie Florida and is affiliated with multiple hospitals in the area including Cleveland Clinic Martin Health-Stuart and Port St Lucie Hospital She received her medical degree from Universidad Central del Este Facultad de Medicina
HCA Florida St Lucie Medical Specialists Neurology Port St Lucie,Not specified,Not specified,Not specified,https://www.hcafloridaphysicians.com/locations/st-lucie-medical-specialists/neurology,Port St Lucie FL,Unknown,Neurology - At HCA Florida Physicians our providers are wholly devoted to bringing you excellent individualized care at every one of our locations When you need brain spine and nervous system support our neurology specialists offer compassionate services for you and your family
Physicians to Women PTWFL,Not specified,(772) 288-2992,Not specified,https://ptwfl.com/,Multiple locations Treasure Coast FL,Unknown,Obstetrics Gynecology - Mammography at 3 of our convenient locations Dense Breast Gynecologic and OB Ultrasound Skilled Gynecologic Surgeons Experts in Gynecology Obstetric Care
HCA Florida St Lucie Hospital Womens Care,Not specified,Not specified,Not specified,https://www.hcafloridahealthcare.com/locations/st-lucie-hospital/specialties/womens-care,1800 SE Tiffany Ave Port St Lucie FL 34952,Unknown,Obstetrics Gynecology - The women's health specialists at our hospital in Port St Lucie Florida including gynecologists and obstetrician-gynecologists OB/GYNs care for women in all stages of life
Florida OBGYN WHSFL,Not specified,Not specified,Not specified,https://whsfl.com/,Multiple locations Treasure Coast FL,Unknown,Obstetrics Gynecology - We provide numerous services including OB/GYN services for women through all stages of their lives from puberty to child-bearing ages menopause and beyond
Treasure Coast OB-Gyn Associates,Not specified,Not specified,Not specified,Not specified,Not specified,Port St Lucie FL,Unknown,Obstetrics Gynecology - Lucie FL - Last Updated January 2026 - Women's Health Specialists Samantha Margules MD FACOG URS - Ob/Gyn Specialists Heidi McNaney-Flint MD Kathy Santoriello MD Treasure Coast OB-Gyn Associates Physicians to Women Grace Womens Health
Womens Health Specialists Port St Lucie Tradition,Not specified,Not specified,Not specified,https://whsfl.com/port-st-lucie-tradition/,Port St Lucie FL,Unknown,Obstetrics Gynecology - Lucie FL facility allows you as a patient to receive one stop comprehensive OB/GYN care Diagnostic services including 3D mammography and ultrasound are available at this location
Real Patient Ratings Womens Health Specialists,Not specified,Not specified,Not specified,https://www.realpatientratings.com/Womens-Health-Specialists,Multiple locations Treasure Coast FL,Unknown,Obstetrics Gynecology - Women's Health Specialists has been serving women of Treasure Coast since 1965 The physicians are on staff at Tradition Medical Center Martin Memorial Hospital in Stuart and St Lucie Medical Center in Port St Lucie
OnSpot Dermatology Stuart,Not specified,(941) 444-0011,Not specified,https://onspotdermatology.com/dermatology-in-stuart/,Stuart FL,Unknown,Dermatology - OnSpot does not stop at skin cancer exams our providers are capable of seeing patients for wide spectrum of all your dermatological needs in Stuart and Florida area There are no hand offs to a specialist or different facilities being used Our mobile medical vehicles are designed efficiency and a convenient patient experience in mind We truly are a one-stop-shop in Stuart
Spyglass Dermatology Stuart,Not specified,Not specified,Not specified,https://spyglassdermatology.com/,Stuart FL,Unknown,Dermatology - Spyglass Dermatology is a premier dermatological practice that specializes in medical and cosmetic skin services for men and women in Stuart FL
Mark R. Kaiser MD FAAD Dermatology Stuart,Dr. Mark R. Kaiser MD,Not specified,Not specified,https://www.kaiserdermatology.com/,Stuart FL,Unknown,Dermatology - We specialize in Mohs Surgery Skin Cancer Treatment Skin Checks Acne Psoriasis Rosacea Eczema Rashes Cyst Removal and Mole Removal At our practice we believe in a team-based approach working closely with each patient to understand concerns provide best treatment options
Florida Dermatology Specialists,Dr. Richard A. Krathen MD FAAD FACMS,Not specified,Not specified,https://www.flderms.com/,Lucie Stuart and Palm Beach Gardens FL,Unknown,Dermatology - Lucie Stuart and Palm Beach Gardens Florida Led by Dr. Richard A. Krathen MD FAAD FACMS we offer full-service dermatologic care to patients of all ages Our expert team specializes in skin cancer diagnosis and treatment medical dermatology and cosmetic dermatology Book Now
Jennie Stuart Health Dermatology,Not specified,Not specified,Not specified,https://www.jenniestuarthealth.org/our-locations/dermatology/,Stuart FL,Unknown,Dermatology - We treat breakouts blemishes blackheads pimples cystic acne and more acne conditions Common skin conditions treated at Jennie Stuart Dermatology include alopecia eczema psoriasis rosacea and other skin infections and conditions
VIM Clinic Stuart Free Dermatology Services,Not specified,Not specified,Not specified,https://vimclinic.net/services/patients/free-dermatology-services-for-the-uninsured-in-stuart-fl/,Stuart FL,Unknown,Dermatology - Access free dermatology care for uninsured adults at Volunteers in Medicine Clinic in Stuart Expert skin care services at no cost
Romagosa Barron Dermatology Stuart,Not specified,Not specified,Not specified,https://www.romagosadermatology.com/,Stuart FL,Unknown,Dermatology - Romagosa Barron Dermatology in Stuart Offers Treatment For Actinic Keratoses Basal Cell Carcinoma Melanoma Seborrheic Keratoses Squamous Cell Carcinoma And More Call Today
Dr. Ryan Alan Schuering Spyglass Dermatology Stuart,Dr. Ryan Alan Schuering,Not specified,Not specified,https://spyglassdermatology.com/,Stuart FL,Unknown,Dermatology - Board-certified dermatologist Dr. Ryan Alan Schuering and his team understand the frustration and embarrassment acne scars can cause their patients That's why they offer a variety of cutting-edge effective acne scar treatments
